delay,conditions,key_resp.rt,,expected,,unexpected
0.4,unexpected,1.6377252,,,,
0.4,unexpected,1.6192471,,,,
0.4,unexpected,0.3904402,,,,
0.4,unexpected,0.384964,,,,
0.4,unexpected,0.5344842,,,,
0.4,unexpected,0.4671583,,,,
0.4,unexpected,0.3774076,,,,
0.4,unexpected,1.9806874,,,,
0.4,unexpected,0.9955488,,,,
0.4,unexpected,0.4918813,,,,
0.4,unexpected,0.368029,,,,
0.4,unexpected,0.5968551,,,,
0.4,unexpected,0.4383658,,,,
0.7,unexpected,1.8850204,,,,
0.7,unexpected,0.4830943,,,,
0.7,unexpected,0.5837797,,,,
0.7,unexpected,0.4203767,,,,
0.7,unexpected,0.9428301,,,,
0.7,unexpected,0.4398321,,,,
0.7,unexpected,1.4922307,,,,
0.7,unexpected,0.3636132,,,,
0.7,unexpected,0.3675838,,,,
0.7,unexpected,0.349088,,,,
0.7,unexpected,1.0077165,,,,
0.7,unexpected,0.2835821,,,,
0.7,unexpected,0.8086478,,,,
0.7,unexpected,0.3074555,,,,
0.7,unexpected,0.363986,,,,
0.7,unexpected,0.4066498,,,,
0.7,unexpected,0.6026097,,,,
0.7,unexpected,0.5186653,,,,
0.7,unexpected,0.2734819,,,,
0.7,unexpected,0.4647013,,,,
0.7,unexpected,0.7963431,,,,
0.7,unexpected,0.9022396,,,,
0.7,unexpected,1.2208764,,,,
0.7,unexpected,1.3293271,,,,
0.7,unexpected,1.5202643,,,,
0.7,unexpected,0.8351551,,,,
0.7,unexpected,0.9242988,,,,
0.7,unexpected,0.7180051,,,,
0.7,unexpected,0.7995992,,,,
0.7,unexpected,1.3577306,,,,
0.7,unexpected,0.6189047,,,,
0.7,unexpected,0.5265499,,,,
0.7,unexpected,0.6941744,,,,
